Calibrating	
-93.69	-4290.48
-89.72	-53.68
-85.74	-50.06
-81.8	-46.38
-77.9	-42.88
-74.04	-39.33
-70.2	-35.48
-66.41	-32.21
-62.64	-28.69
-58.9	-25.39
-55.21	-21.91
-51.56	-18.69
-47.95	-15.56
-44.37	-12.26
-40.83	-9
-37.28	-5.91
-30.01	213.23
-30.31	0.28
-26.89	3.37
-23.51	6.42
-20.14	9.41
-16.85	12.37
-13.57	15.18
-10.36	17.92
-7.17	20.76
-4.07	23.49
-1.01	26.06
2	28.8
4.97	31.48
7.9	33.79
10.79	36.37
13.64	38.97
16.44	41.27
19.22	43.55
21.94	45.92
24.64	48.32
27.3	50.44
29.92	52.7
32.47	54.99
34.96	57.02
37.42	59.25
39.84	61.18
42.21	63.27
44.54	65.32
46.83	67.14
49.09	69.06
51.3	70.92
53.48	72.8
55.64	74.79
53.97	72.71
59.82	78.14
65.65	83.64
63.86	292.07
65.85	83.16
67.78	84.9
69.67	295.47
71.54	87.93
73.38	89.67
75.17	91.01
76.93	92.63
78.65	93.97
80.33	95.3
81.99	96.57
83.6	98.06
85.21	99.44
86.8	100.72
88.35	102.15
89.87	103.13
91.35	104.44
92.8	105.74
94.23	107.04
95.65	108.18
97.04	109.59
98.4	110.53
99.72	111.45
101.01	112.34
102.3	113.54
103.55	114.61
104.78	115.75
105.98	116.73
107.16	117.59
108.31	118.61
109.45	119.52
110.56	120.61
111.66	121.29
112.74	122.35
113.78	123.14
114.81	123.84
115.82	124.75
116.8	125.44
117.75	126.22
118.69	127.06
119.61	127.73
120.51	128.54
121.4	129.31
122.28	129.91
123.13	130.62
123.97	131.37
124.8	132.16
125.61	132.8
126.42	133.41
127.19	134.02
127.95	134.57
128.69	135.29
129.43	136.08
130.15	136.35
130.86	136.98
131.54	137.51
132.21	138.37
132.88	138.72
133.54	139.42
134.17	139.8
134.8	140.29
135.4	140.87
136	141.28
136.59	141.78
137.15	142.25
137.71	142.63
138.26	143.18
138.8	143.61
139.34	143.98
139.86	144.39
140.35	144.91
140.86	145.29
141.34	145.55
141.82	145.97
142.29	146.48
142.77	146.98
143.24	147.36
143.68	147.44
144.11	147.9
144.52	148.14
144.92	148.53
145.33	149.17
145.74	149.21
146.13	149.65
146.51	149.62
146.88	150.36
147.25	150.56
147.62	150.73
147.97	151.18
148.32	151.35
148.67	151.62
148.99	152
145.55	148.57
149.65	152.58
149.97	152.72
150.28	153.08
150.59	153.28
150.89	153.53
151.18	153.63
151.48	154.1
151.76	154.17
152.04	154.52
152.31	154.68
152.56	154.87
152.81	155.13
153.07	155.33
153.32	155.47
153.57	155.78
153.8	155.97
154.04	156.16
154.27	156.16
154.49	156.51
154.71	156.47
154.92	156.77
155.13	156.96
155.34	157.13
155.55	157.42
